Title,Location,Price,Area
House Lomondlaan,            1060 PL Amsterdam (Middelveldsche Akerpolder)        ,"                €3,200 per month            ",130 m²
Apartment President Kennedylaan,            1079 NC Amsterdam (Rijnbuurt)        ,"                €2,575 per month            ",115 m²
Apartment Kastelenstraat,            1082 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",84 m²
Apartment Nassaukade 15 IV,            1052 CG Amsterdam (Staatsliedenbuurt)        ,"                €1,550 per month            ",35 m²
Apartment Piet Gijzenbrugstraat,            1059 XD Amsterdam (Hoofddorppleinbuurt)        ,"                €1,600 per month            ",65 m²
Apartment Leen Jongewaardkade,            1031 HS Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,950 per month            ",150 m²
Apartment Van Heenvlietlaan 295,            1083 DD Amsterdam (Buitenveldert-Oost)        ,"                €2,450 per month            ",109 m²
Apartment Rozengracht,            1016 SZ Amsterdam (Jordaan)        ,"                €2,800 per month            ",80 m²
Apartment Vespuccistraat,            1056 SJ Amsterdam (Van Galenbuurt)        ,"                €1,950 per month            ",60 m²
Apartment Pieter Aertszstraat,            1073 SL Amsterdam (Nieuwe Pijp)        ,"                €1,500 per month            ",55 m²
Apartment Memeleiland,            1014 ZL Amsterdam (Houthavens)        ,"                €2,150 per month            ",75 m²
Apartment Achtersteven,            1034 VC Amsterdam (Banne Buiksloot)        ,"                €1,500 per month            ",80 m²
Apartment Badhuiskade,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,900 per month            ",80 m²
Apartment De Lierhof,            1059 WC Amsterdam (Westlandgracht)        ,"                €2,500 per month            ",120 m²
House Karnstraat,            1097 XC Amsterdam (Betondorp)        ,"                €2,000 per month            ",80 m²
House Aalbersestraat 7,            1067 GB Amsterdam (Geuzenveld)        ,"                €2,500 per month            ",104 m²
Apartment Brouwersgracht,            1013 HD Amsterdam (Haarlemmerbuurt)        ,"                €2,750 per month            ",135 m²
Apartment Baarsjesweg,            1057 HL Amsterdam (Chassébuurt)        ,"                €2,400 per month            ",106 m²
Apartment Eerste Sweelinckstraat,            1073 CM Amsterdam (Oude Pijp)        ,"                €2,350 per month            ",91 m²
Apartment Brouwersgracht 222 2,            1013 HE Amsterdam (Haarlemmerbuurt)        ,"                €2,500 per month            ",112 m²
Apartment Graafschapstraat,            1079 PE Amsterdam (Scheldebuurt)        ,"                €3,250 per month            ",163 m²
Apartment Westerdok,            1013 BV Amsterdam (Haarlemmerbuurt)        ,"                €2,300 per month            ",90 m²
Apartment Utrechtsestraat,            1017 VH Amsterdam (Grachtengordel-Zuid)        ,"                €1,950 per month            ",56 m²
Apartment Lange Leidsedwarsstraat,            1017 NL Amsterdam (De Weteringschans)        ,"                €1,900 per month            ",50 m²
Studio Holendrechtstraat,            1078 TT Amsterdam (IJselbuurt)        ,"                €1,605 per month            ",40 m²
Apartment Milletstraat,            1077 ZB Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",140 m²
Apartment Gietersstraat,            1015 HB Amsterdam (Jordaan)        ,"                €3,495 per month            ",100 m²
Apartment Singel,            1016 AE Amsterdam (Grachtengordel-West)        ,"                €2,195 per month            ",75 m²
Apartment Claus van Amsbergstraat,"            1102 AZ Amsterdam (Bijlmer Centrum (D,F,H))        ","                €2,500 per month            ",139 m²
Apartment Nieuwezijds Voorburgwal 308 E,            1012 RV Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,500 per month            ",96 m²
Apartment Uiterwaardenstraat,            1079 CE Amsterdam (Rijnbuurt)        ,"                €1,795 per month            ",78 m²
Apartment Graafschapstraat 28,            1079 PE Amsterdam (Scheldebuurt)        ,"                €2,400 per month            ",95 m²
